"","Scenario","Algorithm","n_value","number_of_all_ncs_value","n_iterations","n_permutations","number_of_good_ncs_value","alpha_value","single_nc_power","ntree","rejection rate"
"1","Interactions","Bonf","200","10","5","12","2","0","0","10","0"
"2","Interactions","Bonf","200","10","5","12","3","0","0","10","0"
"3","Interactions","Bonf","200","10","5","12","4","0","0","10","0.2"
"4","Interactions","Bonf","200","10","5","12","2","1","0","10","0"
"5","Interactions","Bonf","200","10","5","12","3","1","0","10","0"
"6","Interactions","Bonf","200","10","5","12","4","1","0","10","0"
"7","Interactions","F test","200","10","5","12","2","0","0","10","0.2"
"8","Interactions","F test","200","10","5","12","3","0","0","10","0"
"9","Interactions","F test","200","10","5","12","4","0","0","10","0"
"10","Interactions","F test","200","10","5","12","2","1","0","10","0"
"11","Interactions","F test","200","10","5","12","3","1","0","10","0.2"
"12","Interactions","F test","200","10","5","12","4","1","0","10","0"
"13","Interactions","SUR","200","10","5","12","2","0","0","10","0.2"
"14","Interactions","SUR","200","10","5","12","3","0","0","10","0.2"
"15","Interactions","SUR","200","10","5","12","4","0","0","10","0"
"16","Interactions","SUR","200","10","5","12","2","1","0","10","0.4"
"17","Interactions","SUR","200","10","5","12","3","1","0","10","0"
"18","Interactions","SUR","200","10","5","12","4","1","0","10","0"
"19","Interactions","RF","200","10","5","12","2","0","0","10","0.2"
"20","Interactions","RF","200","10","5","12","3","0","0","10","0.4"
"21","Interactions","RF","200","10","5","12","4","0","0","10","0"
"22","Interactions","RF","200","10","5","12","2","1","0","10","0"
"23","Interactions","RF","200","10","5","12","3","1","0","10","0"
"24","Interactions","RF","200","10","5","12","4","1","0","10","0"
"25","Interactions","Bagging","200","10","5","12","2","0","0","10","0.4"
"26","Interactions","Bagging","200","10","5","12","3","0","0","10","0.2"
"27","Interactions","Bagging","200","10","5","12","4","0","0","10","0"
"28","Interactions","Bagging","200","10","5","12","2","1","0","10","0"
"29","Interactions","Bagging","200","10","5","12","3","1","0","10","0"
"30","Interactions","Bagging","200","10","5","12","4","1","0","10","0"
