"","Scenario","Algorithm","n_value","number_of_all_ncs_value","n_iterations","n_permutations","number_of_good_ncs_value","alpha_value","single_nc_power","ntree","rejection rate"
"1","Degrees","Bonf","200","10","5","12","2","0","0","10","0.2"
"2","Degrees","Bonf","200","10","5","12","3","0","0","10","0"
"3","Degrees","Bonf","200","10","5","12","4","0","0","10","0.2"
"4","Degrees","Bonf","200","10","5","12","2","1","0","10","0"
"5","Degrees","Bonf","200","10","5","12","3","1","0","10","0"
"6","Degrees","Bonf","200","10","5","12","4","1","0","10","0"
"7","Degrees","F test","200","10","5","12","2","0","0","10","0.2"
"8","Degrees","F test","200","10","5","12","3","0","0","10","0"
"9","Degrees","F test","200","10","5","12","4","0","0","10","0"
"10","Degrees","F test","200","10","5","12","2","1","0","10","0"
"11","Degrees","F test","200","10","5","12","3","1","0","10","0"
"12","Degrees","F test","200","10","5","12","4","1","0","10","0"
"13","Degrees","SUR","200","10","5","12","2","0","0","10","0.2"
"14","Degrees","SUR","200","10","5","12","3","0","0","10","0"
"15","Degrees","SUR","200","10","5","12","4","0","0","10","0.4"
"16","Degrees","SUR","200","10","5","12","2","1","0","10","0"
"17","Degrees","SUR","200","10","5","12","3","1","0","10","0.2"
"18","Degrees","SUR","200","10","5","12","4","1","0","10","0"
"19","Degree","RF","200","10","5","12","2","0","0","10","0"
"20","Degree","RF","200","10","5","12","3","0","0","10","0"
"21","Degree","RF","200","10","5","12","4","0","0","10","0"
"22","Degree","RF","200","10","5","12","2","1","0","10","0"
"23","Degree","RF","200","10","5","12","3","1","0","10","0"
"24","Degree","RF","200","10","5","12","4","1","0","10","0"
"25","Interactions","Bagging","200","10","5","12","2","0","0","10","0"
"26","Interactions","Bagging","200","10","5","12","3","0","0","10","0"
"27","Interactions","Bagging","200","10","5","12","4","0","0","10","0"
"28","Interactions","Bagging","200","10","5","12","2","1","0","10","0"
"29","Interactions","Bagging","200","10","5","12","3","1","0","10","0"
"30","Interactions","Bagging","200","10","5","12","4","1","0","10","0.2"
