"","Scenario","Algorithm","n_value","number_of_all_ncs_value","n_iterations","n_permutations","number_of_good_ncs_value","alpha_value","single_nc_power","ntree","rejection rate"
"1","Degrees","Bonf","200","10","5","12","2","0","0.5","10","0"
"2","Degrees","Bonf","200","10","5","12","3","0","0.5","10","0"
"3","Degrees","Bonf","200","10","5","12","4","0","0.5","10","0.2"
"4","Degrees","Bonf","200","10","5","12","2","1","0.5","10","1"
"5","Degrees","Bonf","200","10","5","12","3","1","0.5","10","1"
"6","Degrees","Bonf","200","10","5","12","4","1","0.5","10","1"
"7","Degrees","F test","200","10","5","12","2","0","0.5","10","0"
"8","Degrees","F test","200","10","5","12","3","0","0.5","10","0"
"9","Degrees","F test","200","10","5","12","4","0","0.5","10","0"
"10","Degrees","F test","200","10","5","12","2","1","0.5","10","1"
"11","Degrees","F test","200","10","5","12","3","1","0.5","10","1"
"12","Degrees","F test","200","10","5","12","4","1","0.5","10","1"
"13","Degrees","SUR","200","10","5","12","2","0","0.5","10","0.2"
"14","Degrees","SUR","200","10","5","12","3","0","0.5","10","0.4"
"15","Degrees","SUR","200","10","5","12","4","0","0.5","10","0"
"16","Degrees","SUR","200","10","5","12","2","1","0.5","10","1"
"17","Degrees","SUR","200","10","5","12","3","1","0.5","10","1"
"18","Degrees","SUR","200","10","5","12","4","1","0.5","10","1"
"19","Degree","RF","200","10","5","12","2","0","0.5","10","0.2"
"20","Degree","RF","200","10","5","12","3","0","0.5","10","0"
"21","Degree","RF","200","10","5","12","4","0","0.5","10","0.2"
"22","Degree","RF","200","10","5","12","2","1","0.5","10","0.4"
"23","Degree","RF","200","10","5","12","3","1","0.5","10","0.6"
"24","Degree","RF","200","10","5","12","4","1","0.5","10","1"
"25","Interactions","Bagging","200","10","5","12","2","0","0.5","10","0.2"
"26","Interactions","Bagging","200","10","5","12","3","0","0.5","10","0.2"
"27","Interactions","Bagging","200","10","5","12","4","0","0.5","10","0.4"
"28","Interactions","Bagging","200","10","5","12","2","1","0.5","10","0.6"
"29","Interactions","Bagging","200","10","5","12","3","1","0.5","10","0.8"
"30","Interactions","Bagging","200","10","5","12","4","1","0.5","10","0.8"
